Country,Year,Historical Population (people)
Kenya,2000,30642890
Kenya,2001,31619170
Kenya,2002,32629808
Kenya,2003,33652223
Kenya,2004,34713455
Kenya,2005,35796484
Kenya,2006,36904008
Kenya,2007,38036349
Kenya,2008,39206351
Kenya,2009,40408891
Kenya,2010,41598567
Kenya,2011,42758461
Kenya,2012,43888303
Kenya,2013,44986791
Kenya,2014,46051440
Kenya,2015,47088526
Kenya,2016,48139687
Kenya,2017,49197766
Kenya,2018,50207107
Kenya,2019,51202827
Kenya,2020,52217334
Kenya,2021,53219166
Kenya,2022,54252461
Kenya,2023,55339003
Kenya,2024,56432944
Kenya,2025,57532493
Bangladesh,2000,134544304
Bangladesh,2001,136805810
Bangladesh,2002,138933658
Bangladesh,2003,140970351
Bangladesh,2004,142902856
Bangladesh,2005,144715786
Bangladesh,2006,146405973
Bangladesh,2007,147989278
Bangladesh,2008,149474264
Bangladesh,2009,150873714
Bangladesh,2010,152201981
Bangladesh,2011,153591076
Bangladesh,2012,155070101
Bangladesh,2013,156532141
Bangladesh,2014,157964929
Bangladesh,2015,159383179
Bangladesh,2016,160811932
Bangladesh,2017,162186147
Bangladesh,2018,163523103
Bangladesh,2019,164913055
Bangladesh,2020,166298024
Bangladesh,2021,167658854
Bangladesh,2022,169384897
Bangladesh,2023,171466990
Bangladesh,2024,173562364
Bangladesh,2025,175686899
Vietnam,2000,77154011
Vietnam,2001,77969361
Vietnam,2002,78772224
Vietnam,2003,79563777
Vietnam,2004,80338971
Vietnam,2005,81088313
Vietnam,2006,82167897
Vietnam,2007,83633375
Vietnam,2008,85175788
Vietnam,2009,86460018
Vietnam,2010,87455152
Vietnam,2011,88468314
Vietnam,2012,89510356
Vietnam,2013,90573104
Vietnam,2014,91679578
Vietnam,2015,92823254
Vietnam,2016,94000117
Vietnam,2017,95176977
Vietnam,2018,96237319
Vietnam,2019,97173776
Vietnam,2020,98079191
Vietnam,2021,98935098
Vietnam,2022,99680655
Vietnam,2023,100352192
Vietnam,2024,100987686
Vietnam,2025,102627017
Bolivia,2000,8606326
Bolivia,2001,8752736
Bolivia,2002,8900355
Bolivia,2003,9050700
Bolivia,2004,9204287
Bolivia,2005,9360754
Bolivia,2006,9521689
Bolivia,2007,9685960
Bolivia,2008,9850858
Bolivia,2009,10016275
Bolivia,2010,10182345
Bolivia,2011,10348929
Bolivia,2012,10515807
Bolivia,2013,10682608
Bolivia,2014,10848888
Bolivia,2015,11014705
Bolivia,2016,11180020
Bolivia,2017,11344587
Bolivia,2018,11508368
Bolivia,2019,11671386
Bolivia,2020,11816299
Bolivia,2021,11937360
Bolivia,2022,12077154
Bolivia,2023,12244159
Bolivia,2024,12413315
Bolivia,2025,12581843
Ethiopia,2000,67411494
Ethiopia,2001,69487762
Ethiopia,2002,71635517
Ethiopia,2003,73832663
Ethiopia,2004,76077206
Ethiopia,2005,78367470
Ethiopia,2006,80703490
Ethiopia,2007,83103217
Ethiopia,2008,85543668
Ethiopia,2009,88007636
Ethiopia,2010,90538514
Ethiopia,2011,93149970
Ethiopia,2012,95798767
Ethiopia,2013,98438751
Ethiopia,2014,101115610
Ethiopia,2015,103867135
Ethiopia,2016,106718162
Ethiopia,2017,109666481
Ethiopia,2018,112664152
Ethiopia,2019,115737383
Ethiopia,2020,118917671
Ethiopia,2021,122138588
Ethiopia,2022,125384287
Ethiopia,2023,128691692
Ethiopia,2024,132059767
Ethiopia,2025,135472051
