Country,Month,Solar Irradiance (MWh/m²/day),Peak Sun Hours (hours/day),Average Temperature (°C)
Kenya,January,0.00576,5.76,20.7
Kenya,February,0.00634,6.34,21.8
Kenya,March,0.00597,5.97,22
Kenya,April,0.00526,5.26,20.8
Kenya,May,0.00501,5.01,19.5
Kenya,June,0.00454,4.54,18.3
Kenya,July,0.0044,4.4,17.4
Kenya,August,0.00465,4.65,17.9
Kenya,September,0.00561,5.61,19.3
Kenya,October,0.00533,5.33,20.7
Kenya,November,0.00469,4.69,20.1
Kenya,December,0.0052,5.2,20
Bangladesh,January,0.00429,4.29,19.1
Bangladesh,February,0.00518,5.18,22.3
Bangladesh,March,0.00596,5.96,27.1
Bangladesh,April,0.00583,5.83,29
Bangladesh,May,0.00528,5.28,29.3
Bangladesh,June,0.00449,4.49,29
Bangladesh,July,0.00409,4.09,28.7
Bangladesh,August,0.0042,4.2,28.7
Bangladesh,September,0.00395,3.95,28.4
Bangladesh,October,0.00443,4.43,27.8
Bangladesh,November,0.00437,4.37,24.8
Bangladesh,December,0.00407,4.07,20.7
Vietnam,January,0.00224,2.24,16.4
Vietnam,February,0.0024,2.4,17.4
Vietnam,March,0.00253,2.53,20.3
Vietnam,April,0.00346,3.46,24.1
Vietnam,May,0.00523,5.23,28
Vietnam,June,0.00531,5.31,29.5
Vietnam,July,0.00559,5.59,29.4
Vietnam,August,0.0051,5.1,28.8
Vietnam,September,0.00479,4.79,27.7
Vietnam,October,0.00424,4.24,24.9
Vietnam,November,0.00321,3.21,21.5
Vietnam,December,0.00289,2.89,18.2
Bolivia,January,0.0045,4.5,10
Bolivia,February,0.00461,4.61,9.8
Bolivia,March,0.00442,4.42,9.5
Bolivia,April,0.00415,4.15,8.5
Bolivia,May,0.00383,3.83,7
Bolivia,June,0.00369,3.69,6
Bolivia,July,0.00371,3.71,5.8
Bolivia,August,0.00417,4.17,7
Bolivia,September,0.00451,4.51,8.5
Bolivia,October,0.00492,4.92,9.5
Bolivia,November,0.00489,4.89,10
Bolivia,December,0.00478,4.78,10.2
Ethiopia,January,0.00586,5.86,16
Ethiopia,February,0.0062,6.2,17.5
Ethiopia,March,0.00634,6.34,18.5
Ethiopia,April,0.00608,6.08,18.7
Ethiopia,May,0.00577,5.77,18.4
Ethiopia,June,0.00517,5.17,17.5
Ethiopia,July,0.00462,4.62,16
Ethiopia,August,0.00475,4.75,15.8
Ethiopia,September,0.00532,5.32,16.2
Ethiopia,October,0.00584,5.84,16.5
Ethiopia,November,0.00595,5.95,16.3
Ethiopia,December,0.00592,5.92,15.8
